Date,Open,High,Low,Close,Adj Close,Volume,Day,Day of the week
2/28/2013,3.27,3.27,3.14,3.17,3.17,233100,5,Thursday
3/1/2013,3.17,3.17,3.03,3.1,3.1,244400,6,Friday
3/4/2013,3.12,3.12,2.68,2.68,2.68,595100,2,Monday
3/5/2013,2.8,2.88,2.67,2.85,2.85,393900,3,Tuesday
3/6/2013,2.85,2.89,2.68,2.79,2.79,182600,4,Wednesday
3/7/2013,2.85,2.91,2.83,2.87,2.87,255100,5,Thursday
3/8/2013,2.87,2.98,2.83,2.94,2.94,316800,6,Friday
3/11/2013,2.98,3.12,2.95,3.08,3.08,346700,2,Monday
3/12/2013,3.14,3.49,3.11,3.4,3.4,832700,3,Tuesday
3/13/2013,3.42,3.45,3.13,3.15,3.15,167700,4,Wednesday
3/14/2013,3.18,3.21,3.11,3.18,3.18,140400,5,Thursday
3/15/2013,3.2,3.42,3.18,3.41,3.41,238500,6,Friday
3/18/2013,3.48,3.63,3.3,3.37,3.37,268900,2,Monday
3/19/2013,3.36,3.38,3.21,3.24,3.24,171100,3,Tuesday
3/20/2013,3.25,3.29,3.19,3.25,3.25,559800,4,Wednesday
3/21/2013,3.26,3.28,3.23,3.28,3.28,278700,5,Thursday
3/22/2013,3.29,3.31,3.21,3.26,3.26,430100,6,Friday
3/25/2013,3.26,3.3,3.17,3.3,3.3,421700,2,Monday
3/26/2013,3.26,3.3,3.15,3.27,3.27,289700,3,Tuesday
3/27/2013,3.25,3.38,3.22,3.33,3.33,314700,4,Wednesday
3/28/2013,3.35,3.36,3.08,3.17,3.17,258400,5,Thursday
4/1/2013,3.14,3.17,3.06,3.1,3.1,709800,2,Monday
4/2/2013,3.1,3.12,2.93,3.06,3.06,782300,3,Tuesday
4/3/2013,3.01,3.07,2.96,2.99,2.99,355000,4,Wednesday
4/4/2013,3.01,3.04,2.91,2.91,2.91,306700,5,Thursday
4/5/2013,2.89,2.94,2.81,2.89,2.89,152900,6,Friday
4/8/2013,2.86,3,2.82,2.91,2.91,124000,2,Monday
4/9/2013,2.92,2.93,2.83,2.83,2.83,161300,3,Tuesday
4/10/2013,2.84,2.9,2.76,2.82,2.82,177200,4,Wednesday
4/11/2013,2.87,2.91,2.81,2.84,2.84,188100,5,Thursday
4/12/2013,2.81,2.84,2.68,2.7,2.7,339000,6,Friday
4/15/2013,2.64,2.65,2.4,2.54,2.54,884700,2,Monday
4/16/2013,2.59,2.64,2.45,2.5,2.5,331200,3,Tuesday
4/17/2013,2.47,2.58,2.33,2.35,2.35,523300,4,Wednesday
4/18/2013,2.35,2.52,2.27,2.3,2.3,558600,5,Thursday
4/19/2013,2.44,2.49,2.32,2.4,2.4,186300,6,Friday
4/22/2013,2.44,2.45,2.32,2.37,2.37,256100,2,Monday
4/23/2013,2.36,2.45,2.34,2.39,2.39,218500,3,Tuesday
4/24/2013,2.38,2.58,2.38,2.56,2.56,365100,4,Wednesday
4/25/2013,2.64,2.9,2.6,2.71,2.71,765300,5,Thursday
4/26/2013,2.71,2.72,2.64,2.66,2.66,222300,6,Friday
4/29/2013,2.62,2.67,2.56,2.6,2.6,369800,2,Monday
4/30/2013,2.6,2.64,2.45,2.62,2.62,472700,3,Tuesday
5/1/2013,2.6,2.6,2.46,2.46,2.46,211100,4,Wednesday
5/2/2013,2.45,2.58,2.42,2.5,2.5,186600,5,Thursday
5/3/2013,2.51,2.61,2.49,2.56,2.56,130300,6,Friday
5/6/2013,2.55,2.62,2.49,2.53,2.53,94600,2,Monday
5/7/2013,2.54,2.55,2.4,2.42,2.42,154400,3,Tuesday
5/8/2013,2.48,2.55,2.39,2.42,2.42,255100,4,Wednesday
5/9/2013,2.44,2.44,2.33,2.4,2.4,704200,5,Thursday
5/10/2013,2.37,2.4,2.33,2.39,2.39,204400,6,Friday
5/13/2013,2.35,2.39,2.33,2.36,2.36,154800,2,Monday
5/14/2013,2.33,2.36,2.25,2.3,2.3,247500,3,Tuesday
5/15/2013,2.28,2.3,2.24,2.26,2.26,222800,4,Wednesday
5/16/2013,2.25,2.4,2.09,2.33,2.33,174100,5,Thursday
5/17/2013,2.37,2.37,2.24,2.25,2.25,143700,6,Friday
5/20/2013,2.25,2.48,2.25,2.4,2.4,116400,2,Monday
5/21/2013,2.42,2.42,2.31,2.31,2.31,181800,3,Tuesday
5/22/2013,2.36,2.38,2.3,2.31,2.31,132400,4,Wednesday
5/23/2013,2.27,2.32,2.2,2.22,2.22,164000,5,Thursday
5/24/2013,2.24,2.3,2.17,2.3,2.3,181100,6,Friday
5/28/2013,2.32,2.33,2.25,2.28,2.28,127700,3,Tuesday
5/29/2013,2.24,2.49,2.21,2.47,2.47,181400,4,Wednesday
5/30/2013,2.49,2.8,2.44,2.8,2.8,365500,5,Thursday
5/31/2013,2.77,2.82,2.62,2.62,2.62,317600,6,Friday
6/3/2013,2.52,2.63,2.5,2.53,2.53,182800,2,Monday
6/4/2013,2.53,2.59,2.45,2.52,2.52,131000,3,Tuesday
6/5/2013,2.53,2.66,2.53,2.61,2.61,152400,4,Wednesday
6/6/2013,2.67,2.67,2.57,2.59,2.59,106500,5,Thursday
6/7/2013,2.57,2.64,2.52,2.52,2.52,93300,6,Friday
