Date,Open,High,Low,Close,Adj Close,Volume
2017-11-15,102.730003,102.750000,99.209999,99.349998,98.982323,1051200
2017-11-16,106.900002,110.949997,104.599998,109.500000,109.094765,2947800
2017-11-17,109.339996,113.800003,109.290001,112.389999,111.974068,1058900
2017-11-20,112.230003,112.760002,111.370003,112.500000,112.083664,673000
2017-11-21,112.389999,114.000000,110.720001,113.750000,113.329033,659500
2017-11-22,113.879997,114.959999,112.910004,114.279999,113.857071,509200
2017-11-24,113.970001,114.889999,112.820000,113.489998,113.069992,330300
2017-11-27,112.750000,113.430000,110.820000,112.370003,112.370003,495500
2017-11-28,112.260002,114.410004,112.260002,114.309998,114.309998,353000
2017-11-29,114.050003,115.279999,113.690002,115.080002,115.080002,474800
2017-11-30,115.279999,116.059998,113.529999,114.879997,114.879997,1330400
2017-12-01,114.500000,115.379997,112.559998,114.209999,114.209999,580900
2017-12-04,114.849998,116.239998,113.720001,114.070000,114.070000,488100
2017-12-05,113.709999,115.709999,113.709999,114.980003,114.980003,417900
2017-12-06,114.660004,115.519997,113.809998,114.589996,114.589996,388900
2017-12-07,114.949997,115.720001,114.300003,115.699997,115.699997,547400
2017-12-08,115.699997,115.980003,114.070000,114.470001,114.470001,423400
2017-12-11,114.209999,115.019997,113.529999,113.750000,113.750000,489500
2017-12-12,113.529999,114.250000,110.669998,110.779999,110.779999,463900
2017-12-13,110.820000,111.760002,110.029999,111.000000,111.000000,469400
2017-12-14,111.129997,111.250000,109.230003,109.449997,109.449997,339300
2017-12-15,110.050003,111.050003,109.180000,109.290001,109.290001,220106
